iter	Passed	Remaining
144	37531	91887
145	37850	91773
146	38136	91579
147	38439	91423
148	38752	91289
149	39130	91303
150	39493	91279
151	39823	91175
152	40131	91017
153	40478	90944
154	40736	90672
155	41083	90593
156	41425	90502
157	41731	90329
158	42017	90112
159	42331	89953
160	42559	89612
161	42786	89270
162	43023	88949
163	43316	88746
164	43577	88475
165	43866	88260
166	44267	88269
167	44748	88431
168	45173	88476
169	45612	88541
170	45946	88399
171	46282	88259
172	46664	88203
173	47032	88117
174	47322	87885
175	47635	87692
176	47883	87380
177	48155	87112
178	48421	86833
179	48691	86562
180	48918	86214
181	49426	86360
182	49763	86202
183	50100	86042
184	50510	86004
185	51004	86104
186	51316	85893
187	51600	85634
188	51915	85427
189	52146	85080
190	52505	84942
191	52814	84723
192	53080	84433
193	53383	84202
194	53692	83979
195	53942	83666
196	54173	83322
197	54559	83217
198	54917	83066
199	55476	83214
200	55804	83012
201	56058	82700
202	56373	82478
203	56591	82112
204	56884	81858
205	57142	81552
206	57410	81262
207	57651	80933
208	57939	80671
209	58208	80383
210	58457	80066
211	58723	79774
212	58962	79447
213	59283	79229
214	59506	78880
215	59792	78615
216	60019	78274
217	60264	77957
218	60519	77652
219	60766	77339
220	60989	76995
221	61226	76670
222	61520	76418
223	61757	76094
224	62029	75813
225	62301	75533
226	62569	75248
227	62830	74955
228	63088	74659
229	63320	74332
230	63581	74041
231	63804	73705
232	64008	73349
233	64303	73097
234	64600	72847
235	64840	72533
236	65091	72231
237	65352	71942
238	65638	71680
239	65875	71364
240	66087	71023
241	66353	70740
242	66628	70466
243	66898	70188
244	67161	69903
245	67415	69608
246	67725	69370
247	67985	69081
248	68239	68787
249	68514	68514
250	68788	68240
251	69029	67933
252	69290	67646
253	69534	67344
254	69797	67059
255	70057	66773
256	70298	66469
257	70543	66168
258	70792	65872
259	71013	65551
260	71238	65233
261	71517	64965
262	71781	64685
263	72045	64404
264	72271	64089
265	72545	63818
266	72801	63530
267	73066	63251
268	73343	62982
269	73590	62688
270	73898	62445
271	74164	62167
272	74437	61894
273	74713	61624
274	74950	61323
275	75223	61051
276	75447	60739
277	75703	60454
278	75997	60199
279	76237	59901
280	76471	59598
281	76771	59347
282	76987	59032
283	77265	58765
284	77522	58481
285	77786	58203
286	78032	57912
287	78309	57644
288	78568	57363
289	78812	57071
290	79067	56787
291	79346	56520
292	79545	56197
293	79767	55891
294	79992	55588
295	80226	55291
296	80503	55023
297	80722	54717
298	80994	54447
299	81258	54172
300	81489	53874
301	81724	53580
302	81971	53294
303	82228	53015
304	82449	52713
305	82726	52447
306	82948	52146
307	83282	51916
308	83541	51638
309	83742	51326
310	83999	51047
311	84233	50755
312	84498	50483
313	84766	50211
314	85016	49930
315	85263	49646
316	85501	49358
317	85775	49091
318	86000	48796
319	86269	48526
320	86537	48256
321	86782	47973
322	87028	47690
323	87239	47389
324	87481	47105
325	87719	46819
326	87971	46541
327	88206	46254
328	88482	45989
329	88726	45707
330	88922	45401
331	89159	45116
332	89450	44859
333	89715	44589
334	89941	44299
335	90196	44024
336	90458	43753
337	90715	43479
338	90952	43195
339	91209	42922
340	91485	42657
341	91737	42381
342	91986	42104
343	92209	41815
344	92470	41544
345	92718	41267
346	92956	40986
347	93225	40719
348	93485	40447
349	93744	40176
350	94059	39928
351	94299	39648
352	94543	39370
353	94821	39107
354	95104	38845
355	95368	38576
356	95601	38294
357	95843	38016
358	96075	37734
359	96304	37451
360	96568	37182
361	96791	36898
362	97026	36618
363	97278	36345
364	97563	36084
365	97882	35836
366	98121	35558
367	98377	35287
368	98606	35006
369	98841	34728
370	99099	34457
371	99311	34171
372	99587	33907
373	99836	33634
374	100109	33369
375	100373	33101
376	100596	32820
377	100839	32545
378	101073	32268
379	101330	31999
380	101559	31720
381	101794	31444
382	102176	31213
383	102450	30948
384	102718	30682
385	102990	30416
386	103235	30143
387	103475	29869
388	103729	29598
389	103971	29325
390	104224	29054
391	104672	28838
392	104987	28584
393	105243	28314
394	105541	28055
395	105781	27781
396	106063	27517
397	106335	27251
